,Distance_0.01,Distance_0.025,Distance_0.05,Distance_0.075,Distance_0.1,Distance_0.125,Distance_0.15,Distance_0.175,Distance_0.2,Distance_0.225,Distance_0.25,Distance_0.275,Distance_0.3
Class_9,"Cov: 3.52%
Acc: 66.60%","Cov: 8.23%
Acc: 46.36%","Cov: 21.69%
Acc: 36.04%","Cov: 41.59%
Acc: 35.20%","Cov: 58.48%
Acc: 33.75%","Cov: 73.64%
Acc: 31.03%","Cov: 80.55%
Acc: 29.81%","Cov: 84.73%
Acc: 29.13%","Cov: 87.70%
Acc: 28.75%","Cov: 90.19%
Acc: 28.40%","Cov: 92.13%
Acc: 28.20%","Cov: 93.80%
Acc: 28.03%","Cov: 95.09%
Acc: 27.92%"
Class_10,"Cov: 10.31%
Acc: 66.71%","Cov: 20.89%
Acc: 47.08%","Cov: 38.25%
Acc: 34.59%","Cov: 52.79%
Acc: 31.24%","Cov: 66.26%
Acc: 30.21%","Cov: 76.63%
Acc: 29.10%","Cov: 82.69%
Acc: 28.81%","Cov: 87.43%
Acc: 28.45%","Cov: 90.22%
Acc: 28.30%","Cov: 92.13%
Acc: 28.18%","Cov: 93.54%
Acc: 28.08%","Cov: 94.79%
Acc: 27.91%","Cov: 95.59%
Acc: 27.82%"
Class_11,"Cov: 22.54%
Acc: 84.50%","Cov: 31.06%
Acc: 68.32%","Cov: 45.02%
Acc: 54.35%","Cov: 57.41%
Acc: 47.57%","Cov: 69.18%
Acc: 44.52%","Cov: 77.68%
Acc: 42.51%","Cov: 82.79%
Acc: 41.50%","Cov: 87.38%
Acc: 40.53%","Cov: 90.52%
Acc: 40.03%","Cov: 92.56%
Acc: 39.67%","Cov: 94.04%
Acc: 39.51%","Cov: 95.29%
Acc: 39.22%","Cov: 96.21%
Acc: 38.98%"
Class_12,"Cov: 8.00%
Acc: 85.16%","Cov: 15.74%
Acc: 69.73%","Cov: 32.29%
Acc: 58.27%","Cov: 49.33%
Acc: 52.63%","Cov: 63.60%
Acc: 49.46%","Cov: 76.06%
Acc: 46.41%","Cov: 82.44%
Acc: 45.53%","Cov: 86.05%
Acc: 45.24%","Cov: 88.70%
Acc: 45.08%","Cov: 90.94%
Acc: 44.91%","Cov: 92.44%
Acc: 44.79%","Cov: 93.77%
Acc: 44.72%","Cov: 94.79%
Acc: 44.61%"
Class_13,"Cov: 14.26%
Acc: 66.19%","Cov: 31.16%
Acc: 60.49%","Cov: 56.18%
Acc: 51.53%","Cov: 72.75%
Acc: 45.80%","Cov: 80.60%
Acc: 43.03%","Cov: 86.49%
Acc: 40.85%","Cov: 89.93%
Acc: 39.62%","Cov: 92.50%
Acc: 38.78%","Cov: 94.32%
Acc: 38.25%","Cov: 95.56%
Acc: 37.92%","Cov: 96.48%
Acc: 37.69%","Cov: 97.18%
Acc: 37.50%","Cov: 97.82%
Acc: 37.34%"
Class_14,"Cov: 11.96%
Acc: 63.03%","Cov: 21.43%
Acc: 47.74%","Cov: 40.10%
Acc: 37.89%","Cov: 60.28%
Acc: 33.01%","Cov: 76.37%
Acc: 29.90%","Cov: 84.95%
Acc: 28.18%","Cov: 89.08%
Acc: 27.32%","Cov: 92.10%
Acc: 26.74%","Cov: 94.21%
Acc: 26.32%","Cov: 95.72%
Acc: 26.01%","Cov: 96.65%
Acc: 25.84%","Cov: 97.29%
Acc: 25.72%","Cov: 97.82%
Acc: 25.61%"
Class_15,"Cov: 4.86%
Acc: 59.51%","Cov: 12.52%
Acc: 62.47%","Cov: 32.28%
Acc: 64.17%","Cov: 53.92%
Acc: 65.14%","Cov: 69.37%
Acc: 64.58%","Cov: 80.49%
Acc: 63.79%","Cov: 87.07%
Acc: 63.24%","Cov: 91.06%
Acc: 62.51%","Cov: 93.84%
Acc: 61.52%","Cov: 95.34%
Acc: 60.96%","Cov: 96.28%
Acc: 60.63%","Cov: 97.07%
Acc: 60.33%","Cov: 97.65%
Acc: 60.07%"
Class_16,"Cov: 25.09%
Acc: 89.04%","Cov: 33.72%
Acc: 82.16%","Cov: 52.09%
Acc: 75.48%","Cov: 63.76%
Acc: 70.63%","Cov: 73.18%
Acc: 66.69%","Cov: 79.20%
Acc: 64.19%","Cov: 83.25%
Acc: 62.76%","Cov: 86.23%
Acc: 61.79%","Cov: 88.80%
Acc: 60.71%","Cov: 90.47%
Acc: 60.18%","Cov: 91.70%
Acc: 59.83%","Cov: 92.78%
Acc: 59.47%","Cov: 93.62%
Acc: 59.24%"
Class_17,"Cov: 19.58%
Acc: 79.44%","Cov: 36.01%
Acc: 65.68%","Cov: 57.94%
Acc: 54.61%","Cov: 73.24%
Acc: 49.27%","Cov: 83.13%
Acc: 47.03%","Cov: 88.39%
Acc: 45.72%","Cov: 91.06%
Acc: 45.13%","Cov: 92.82%
Acc: 44.74%","Cov: 93.91%
Acc: 44.46%","Cov: 94.78%
Acc: 44.26%","Cov: 95.51%
Acc: 44.09%","Cov: 96.08%
Acc: 43.94%","Cov: 96.61%
Acc: 43.87%"
Class_18,"Cov: 40.28%
Acc: 84.54%","Cov: 53.93%
Acc: 75.33%","Cov: 64.79%
Acc: 67.22%","Cov: 72.40%
Acc: 62.22%","Cov: 79.72%
Acc: 58.10%","Cov: 85.79%
Acc: 55.19%","Cov: 89.36%
Acc: 53.49%","Cov: 92.12%
Acc: 52.26%","Cov: 93.88%
Acc: 51.53%","Cov: 95.17%
Acc: 50.95%","Cov: 96.06%
Acc: 50.54%","Cov: 96.90%
Acc: 50.18%","Cov: 97.54%
Acc: 49.90%"
Class_19,"Cov: 8.94%
Acc: 54.89%","Cov: 19.04%
Acc: 48.87%","Cov: 37.12%
Acc: 42.65%","Cov: 51.54%
Acc: 41.82%","Cov: 62.18%
Acc: 42.20%","Cov: 71.25%
Acc: 42.22%","Cov: 76.61%
Acc: 42.86%","Cov: 80.83%
Acc: 43.24%","Cov: 83.86%
Acc: 43.55%","Cov: 86.40%
Acc: 43.56%","Cov: 88.85%
Acc: 43.79%","Cov: 90.68%
Acc: 43.94%","Cov: 92.18%
Acc: 44.02%"
