,Similarity_0.9,Similarity_0.91,Similarity_0.92,Similarity_0.93,Similarity_0.94,Similarity_0.95,Similarity_0.96,Similarity_0.97,Similarity_0.98,Similarity_0.99,Similarity_0.991,Similarity_0.992,Similarity_0.993,Similarity_0.994,Similarity_0.995,Similarity_0.996,Similarity_0.997,Similarity_0.998,Similarity_0.999
Class_9,"Cov: 92.51%
Acc: 60.53%","Cov: 82.19%
Acc: 62.50%","Cov: 66.00%
Acc: 65.23%","Cov: 47.82%
Acc: 68.15%","Cov: 31.59%
Acc: 70.53%","Cov: 20.04%
Acc: 72.66%","Cov: 12.34%
Acc: 75.31%","Cov: 8.09%
Acc: 76.64%","Cov: 5.47%
Acc: 77.03%","Cov: 4.17%
Acc: 77.37%","Cov: 4.09%
Acc: 77.22%","Cov: 3.90%
Acc: 76.07%","Cov: 3.77%
Acc: 75.90%","Cov: 3.63%
Acc: 75.20%","Cov: 3.47%
Acc: 74.70%","Cov: 3.39%
Acc: 74.54%","Cov: 3.26%
Acc: 74.89%","Cov: 2.90%
Acc: 74.33%","Cov: 2.18%
Acc: 72.56%"
Class_10,"Cov: 96.50%
Acc: 72.19%","Cov: 90.62%
Acc: 73.93%","Cov: 80.15%
Acc: 76.67%","Cov: 65.20%
Acc: 80.16%","Cov: 49.61%
Acc: 83.55%","Cov: 36.64%
Acc: 85.54%","Cov: 25.04%
Acc: 86.22%","Cov: 14.78%
Acc: 85.02%","Cov: 8.39%
Acc: 82.01%","Cov: 4.76%
Acc: 75.84%","Cov: 4.46%
Acc: 75.19%","Cov: 4.26%
Acc: 74.55%","Cov: 4.05%
Acc: 73.82%","Cov: 3.87%
Acc: 73.47%","Cov: 3.65%
Acc: 73.10%","Cov: 3.40%
Acc: 72.74%","Cov: 3.10%
Acc: 72.40%","Cov: 2.87%
Acc: 70.95%","Cov: 2.25%
Acc: 71.64%"
Class_11,"Cov: 94.54%
Acc: 64.46%","Cov: 87.66%
Acc: 66.72%","Cov: 77.62%
Acc: 69.98%","Cov: 65.27%
Acc: 74.09%","Cov: 52.53%
Acc: 77.73%","Cov: 41.92%
Acc: 79.95%","Cov: 34.27%
Acc: 81.42%","Cov: 28.12%
Acc: 82.70%","Cov: 23.50%
Acc: 84.50%","Cov: 19.39%
Acc: 86.91%","Cov: 18.93%
Acc: 87.18%","Cov: 18.46%
Acc: 87.24%","Cov: 17.95%
Acc: 87.24%","Cov: 17.33%
Acc: 87.31%","Cov: 16.61%
Acc: 87.51%","Cov: 15.82%
Acc: 87.35%","Cov: 14.91%
Acc: 87.15%","Cov: 13.74%
Acc: 86.56%","Cov: 11.15%
Acc: 86.22%"
Class_12,"Cov: 95.25%
Acc: 74.78%","Cov: 89.85%
Acc: 76.47%","Cov: 81.82%
Acc: 78.85%","Cov: 71.53%
Acc: 81.36%","Cov: 59.89%
Acc: 83.43%","Cov: 45.41%
Acc: 84.24%","Cov: 30.43%
Acc: 83.44%","Cov: 20.11%
Acc: 81.71%","Cov: 13.42%
Acc: 77.89%","Cov: 10.24%
Acc: 75.64%","Cov: 10.09%
Acc: 75.30%","Cov: 9.77%
Acc: 74.74%","Cov: 9.55%
Acc: 74.49%","Cov: 9.32%
Acc: 74.13%","Cov: 9.01%
Acc: 74.26%","Cov: 8.76%
Acc: 74.24%","Cov: 8.45%
Acc: 73.76%","Cov: 7.84%
Acc: 72.63%","Cov: 6.08%
Acc: 70.80%"
Class_13,"Cov: 95.13%
Acc: 76.31%","Cov: 90.62%
Acc: 78.95%","Cov: 84.61%
Acc: 82.35%","Cov: 77.33%
Acc: 85.77%","Cov: 68.85%
Acc: 88.44%","Cov: 58.67%
Acc: 89.71%","Cov: 44.25%
Acc: 88.69%","Cov: 27.29%
Acc: 84.99%","Cov: 15.42%
Acc: 79.30%","Cov: 9.98%
Acc: 76.85%","Cov: 9.60%
Acc: 76.94%","Cov: 9.33%
Acc: 77.04%","Cov: 8.89%
Acc: 77.03%","Cov: 8.57%
Acc: 77.42%","Cov: 8.24%
Acc: 77.35%","Cov: 7.78%
Acc: 76.78%","Cov: 7.40%
Acc: 77.06%","Cov: 6.23%
Acc: 74.02%","Cov: 4.90%
Acc: 71.84%"
Class_14,"Cov: 94.52%
Acc: 65.44%","Cov: 86.61%
Acc: 67.82%","Cov: 73.58%
Acc: 70.85%","Cov: 55.38%
Acc: 73.50%","Cov: 38.35%
Acc: 74.99%","Cov: 26.77%
Acc: 74.50%","Cov: 19.57%
Acc: 72.10%","Cov: 14.87%
Acc: 69.66%","Cov: 11.52%
Acc: 65.40%","Cov: 8.73%
Acc: 61.58%","Cov: 8.50%
Acc: 61.56%","Cov: 8.25%
Acc: 60.84%","Cov: 8.09%
Acc: 60.40%","Cov: 7.84%
Acc: 60.25%","Cov: 7.23%
Acc: 59.33%","Cov: 6.82%
Acc: 59.86%","Cov: 6.33%
Acc: 59.38%","Cov: 5.91%
Acc: 57.83%","Cov: 5.13%
Acc: 58.40%"
Class_15,"Cov: 94.86%
Acc: 81.41%","Cov: 89.47%
Acc: 83.69%","Cov: 80.73%
Acc: 86.49%","Cov: 68.48%
Acc: 88.55%","Cov: 51.66%
Acc: 89.40%","Cov: 34.34%
Acc: 88.69%","Cov: 21.16%
Acc: 85.53%","Cov: 13.53%
Acc: 80.99%","Cov: 9.20%
Acc: 74.73%","Cov: 5.85%
Acc: 65.00%","Cov: 5.50%
Acc: 64.73%","Cov: 5.22%
Acc: 63.44%","Cov: 4.98%
Acc: 61.63%","Cov: 4.73%
Acc: 60.68%","Cov: 4.41%
Acc: 59.19%","Cov: 4.05%
Acc: 58.18%","Cov: 3.58%
Acc: 57.30%","Cov: 3.24%
Acc: 53.35%","Cov: 2.31%
Acc: 45.46%"
Class_16,"Cov: 95.52%
Acc: 77.53%","Cov: 90.60%
Acc: 79.86%","Cov: 83.27%
Acc: 82.89%","Cov: 74.89%
Acc: 85.73%","Cov: 66.64%
Acc: 88.40%","Cov: 59.32%
Acc: 89.97%","Cov: 52.36%
Acc: 90.90%","Cov: 45.91%
Acc: 91.80%","Cov: 39.58%
Acc: 91.98%","Cov: 33.70%
Acc: 92.25%","Cov: 33.02%
Acc: 92.21%","Cov: 32.28%
Acc: 92.26%","Cov: 31.64%
Acc: 92.26%","Cov: 30.81%
Acc: 92.21%","Cov: 29.84%
Acc: 92.26%","Cov: 28.96%
Acc: 92.32%","Cov: 27.62%
Acc: 92.43%","Cov: 26.95%
Acc: 92.47%","Cov: 22.42%
Acc: 91.97%"
Class_17,"Cov: 96.86%
Acc: 78.14%","Cov: 92.73%
Acc: 79.38%","Cov: 85.62%
Acc: 81.13%","Cov: 75.80%
Acc: 82.75%","Cov: 64.19%
Acc: 84.20%","Cov: 52.24%
Acc: 84.59%","Cov: 41.37%
Acc: 84.79%","Cov: 32.24%
Acc: 84.21%","Cov: 25.00%
Acc: 82.94%","Cov: 19.73%
Acc: 81.88%","Cov: 19.37%
Acc: 81.85%","Cov: 18.97%
Acc: 81.70%","Cov: 18.65%
Acc: 81.59%","Cov: 18.33%
Acc: 81.67%","Cov: 17.76%
Acc: 81.82%","Cov: 16.96%
Acc: 81.88%","Cov: 16.39%
Acc: 82.02%","Cov: 15.70%
Acc: 82.07%","Cov: 12.83%
Acc: 81.92%"
Class_18,"Cov: 94.97%
Acc: 64.79%","Cov: 89.50%
Acc: 67.32%","Cov: 81.69%
Acc: 71.08%","Cov: 74.37%
Acc: 74.88%","Cov: 68.37%
Acc: 77.66%","Cov: 63.81%
Acc: 79.44%","Cov: 59.16%
Acc: 80.61%","Cov: 52.48%
Acc: 82.06%","Cov: 43.06%
Acc: 83.17%","Cov: 28.99%
Acc: 82.73%","Cov: 27.33%
Acc: 82.56%","Cov: 25.71%
Acc: 81.99%","Cov: 24.63%
Acc: 81.75%","Cov: 23.25%
Acc: 81.08%","Cov: 21.98%
Acc: 80.83%","Cov: 20.54%
Acc: 80.18%","Cov: 18.82%
Acc: 79.95%","Cov: 17.35%
Acc: 79.01%","Cov: 13.18%
Acc: 75.99%"
Class_19,"Cov: 91.06%
Acc: 63.78%","Cov: 82.14%
Acc: 66.77%","Cov: 71.24%
Acc: 70.92%","Cov: 59.81%
Acc: 74.91%","Cov: 49.96%
Acc: 78.73%","Cov: 41.59%
Acc: 81.00%","Cov: 34.04%
Acc: 82.38%","Cov: 26.86%
Acc: 82.28%","Cov: 18.55%
Acc: 77.25%","Cov: 12.35%
Acc: 69.36%","Cov: 11.88%
Acc: 68.88%","Cov: 11.35%
Acc: 67.84%","Cov: 10.99%
Acc: 67.03%","Cov: 10.50%
Acc: 66.37%","Cov: 9.87%
Acc: 65.53%","Cov: 9.61%
Acc: 65.65%","Cov: 8.95%
Acc: 65.23%","Cov: 8.33%
Acc: 65.52%","Cov: 6.99%
Acc: 63.24%"
