,Distance_0.1,Distance_0.25,Distance_0.5,Distance_0.75,Distance_1,Distance_1.25,Distance_1.5,Distance_1.75,Distance_2,Distance_2.25,Distance_2.5,Distance_2.75,Distance_3
Class_9,"Cov: 1.62%
Acc: 76.61%","Cov: 2.50%
Acc: 71.28%","Cov: 3.58%
Acc: 74.85%","Cov: 4.27%
Acc: 75.78%","Cov: 5.61%
Acc: 73.64%","Cov: 9.67%
Acc: 68.15%","Cov: 18.18%
Acc: 59.61%","Cov: 31.78%
Acc: 53.52%","Cov: 49.01%
Acc: 52.64%","Cov: 66.49%
Acc: 52.91%","Cov: 82.13%
Acc: 53.66%","Cov: 92.03%
Acc: 54.41%","Cov: 96.92%
Acc: 54.70%"
Class_10,"Cov: 2.11%
Acc: 70.49%","Cov: 2.49%
Acc: 64.86%","Cov: 3.65%
Acc: 68.42%","Cov: 4.43%
Acc: 69.39%","Cov: 6.30%
Acc: 70.09%","Cov: 9.44%
Acc: 69.78%","Cov: 16.42%
Acc: 65.65%","Cov: 27.92%
Acc: 60.35%","Cov: 43.66%
Acc: 58.86%","Cov: 61.51%
Acc: 59.23%","Cov: 76.76%
Acc: 60.80%","Cov: 87.80%
Acc: 62.31%","Cov: 94.41%
Acc: 63.29%"
Class_11,"Cov: 9.21%
Acc: 84.60%","Cov: 11.43%
Acc: 83.40%","Cov: 15.68%
Acc: 84.90%","Cov: 18.57%
Acc: 82.75%","Cov: 22.04%
Acc: 79.27%","Cov: 27.19%
Acc: 75.44%","Cov: 36.41%
Acc: 69.85%","Cov: 49.50%
Acc: 64.54%","Cov: 63.85%
Acc: 61.59%","Cov: 78.41%
Acc: 59.67%","Cov: 88.99%
Acc: 59.30%","Cov: 94.70%
Acc: 59.14%","Cov: 97.61%
Acc: 59.19%"
Class_12,"Cov: 4.74%
Acc: 69.36%","Cov: 7.16%
Acc: 70.35%","Cov: 9.35%
Acc: 72.09%","Cov: 10.86%
Acc: 72.08%","Cov: 13.50%
Acc: 73.08%","Cov: 20.75%
Acc: 74.82%","Cov: 32.17%
Acc: 73.79%","Cov: 46.13%
Acc: 73.37%","Cov: 59.83%
Acc: 71.66%","Cov: 73.34%
Acc: 70.75%","Cov: 84.81%
Acc: 70.19%","Cov: 91.47%
Acc: 70.29%","Cov: 94.80%
Acc: 70.39%"
Class_13,"Cov: 3.84%
Acc: 65.32%","Cov: 5.39%
Acc: 68.33%","Cov: 8.58%
Acc: 73.80%","Cov: 10.47%
Acc: 71.77%","Cov: 13.79%
Acc: 70.27%","Cov: 21.59%
Acc: 75.30%","Cov: 34.94%
Acc: 76.67%","Cov: 51.71%
Acc: 76.38%","Cov: 69.90%
Acc: 75.40%","Cov: 84.52%
Acc: 74.48%","Cov: 93.31%
Acc: 73.49%","Cov: 97.11%
Acc: 72.87%","Cov: 98.73%
Acc: 72.52%"
Class_14,"Cov: 4.92%
Acc: 58.24%","Cov: 5.70%
Acc: 53.82%","Cov: 7.41%
Acc: 54.09%","Cov: 8.90%
Acc: 57.03%","Cov: 10.82%
Acc: 57.63%","Cov: 13.76%
Acc: 55.86%","Cov: 19.58%
Acc: 53.09%","Cov: 29.24%
Acc: 51.92%","Cov: 43.95%
Acc: 54.14%","Cov: 62.83%
Acc: 57.45%","Cov: 79.29%
Acc: 59.95%","Cov: 89.62%
Acc: 60.95%","Cov: 95.30%
Acc: 61.13%"
Class_15,"Cov: 2.10%
Acc: 40.48%","Cov: 3.14%
Acc: 45.00%","Cov: 4.70%
Acc: 53.64%","Cov: 6.34%
Acc: 61.78%","Cov: 8.83%
Acc: 67.97%","Cov: 14.22%
Acc: 72.37%","Cov: 25.10%
Acc: 72.12%","Cov: 42.20%
Acc: 71.04%","Cov: 60.46%
Acc: 71.54%","Cov: 76.08%
Acc: 72.53%","Cov: 88.41%
Acc: 73.48%","Cov: 95.33%
Acc: 74.15%","Cov: 98.37%
Acc: 74.51%"
Class_16,"Cov: 19.96%
Acc: 91.70%","Cov: 24.54%
Acc: 91.43%","Cov: 29.28%
Acc: 91.53%","Cov: 32.72%
Acc: 90.63%","Cov: 37.48%
Acc: 89.99%","Cov: 46.44%
Acc: 89.03%","Cov: 55.68%
Acc: 86.47%","Cov: 64.89%
Acc: 82.26%","Cov: 74.58%
Acc: 78.69%","Cov: 83.27%
Acc: 76.23%","Cov: 89.84%
Acc: 74.73%","Cov: 93.80%
Acc: 73.92%","Cov: 96.18%
Acc: 73.62%"
Class_17,"Cov: 11.45%
Acc: 80.06%","Cov: 15.52%
Acc: 80.91%","Cov: 18.45%
Acc: 80.60%","Cov: 21.30%
Acc: 80.48%","Cov: 24.83%
Acc: 80.35%","Cov: 32.20%
Acc: 79.99%","Cov: 43.77%
Acc: 78.56%","Cov: 58.13%
Acc: 77.03%","Cov: 72.02%
Acc: 76.22%","Cov: 83.49%
Acc: 75.38%","Cov: 91.18%
Acc: 75.13%","Cov: 95.62%
Acc: 75.09%","Cov: 97.90%
Acc: 75.03%"
Class_18,"Cov: 12.09%
Acc: 75.50%","Cov: 13.47%
Acc: 71.69%","Cov: 19.60%
Acc: 75.77%","Cov: 25.79%
Acc: 75.30%","Cov: 34.52%
Acc: 73.94%","Cov: 45.61%
Acc: 73.42%","Cov: 56.96%
Acc: 71.11%","Cov: 67.07%
Acc: 68.08%","Cov: 76.46%
Acc: 64.98%","Cov: 84.42%
Acc: 63.23%","Cov: 90.52%
Acc: 61.96%","Cov: 95.07%
Acc: 61.32%","Cov: 97.76%
Acc: 61.01%"
Class_19,"Cov: 6.43%
Acc: 60.93%","Cov: 8.66%
Acc: 62.29%","Cov: 11.15%
Acc: 65.34%","Cov: 13.23%
Acc: 66.59%","Cov: 17.11%
Acc: 68.20%","Cov: 28.39%
Acc: 70.35%","Cov: 47.72%
Acc: 69.68%","Cov: 69.36%
Acc: 67.01%","Cov: 85.15%
Acc: 64.55%","Cov: 94.41%
Acc: 62.57%","Cov: 97.67%
Acc: 61.53%","Cov: 98.96%
Acc: 61.14%","Cov: 99.64%
Acc: 60.95%"
