,Similarity_0.9,Similarity_0.91,Similarity_0.92,Similarity_0.93,Similarity_0.94,Similarity_0.95,Similarity_0.96,Similarity_0.97,Similarity_0.98,Similarity_0.99,Similarity_0.991,Similarity_0.992,Similarity_0.993,Similarity_0.994,Similarity_0.995,Similarity_0.996,Similarity_0.997,Similarity_0.998,Similarity_0.999
Class_9,"Cov: 99.49%
Acc: 69.96%","Cov: 98.19%
Acc: 70.42%","Cov: 93.94%
Acc: 71.95%","Cov: 84.96%
Acc: 74.19%","Cov: 69.45%
Acc: 77.37%","Cov: 53.62%
Acc: 80.03%","Cov: 39.72%
Acc: 82.04%","Cov: 28.83%
Acc: 83.34%","Cov: 20.77%
Acc: 85.13%","Cov: 15.68%
Acc: 86.51%","Cov: 15.17%
Acc: 86.40%","Cov: 14.77%
Acc: 86.31%","Cov: 14.18%
Acc: 86.37%","Cov: 13.66%
Acc: 86.17%","Cov: 13.02%
Acc: 85.85%","Cov: 12.79%
Acc: 85.85%","Cov: 12.22%
Acc: 85.88%","Cov: 11.55%
Acc: 86.03%","Cov: 9.60%
Acc: 86.48%"
Class_10,"Cov: 99.89%
Acc: 78.00%","Cov: 99.27%
Acc: 78.37%","Cov: 97.38%
Acc: 79.22%","Cov: 92.49%
Acc: 81.31%","Cov: 83.58%
Acc: 84.11%","Cov: 72.38%
Acc: 86.88%","Cov: 60.96%
Acc: 88.79%","Cov: 47.48%
Acc: 89.27%","Cov: 32.90%
Acc: 88.55%","Cov: 19.93%
Acc: 86.22%","Cov: 18.95%
Acc: 86.03%","Cov: 18.02%
Acc: 85.88%","Cov: 17.13%
Acc: 85.57%","Cov: 16.23%
Acc: 85.48%","Cov: 15.56%
Acc: 85.43%","Cov: 14.53%
Acc: 84.98%","Cov: 13.57%
Acc: 84.98%","Cov: 12.66%
Acc: 84.61%","Cov: 11.13%
Acc: 84.00%"
Class_11,"Cov: 99.81%
Acc: 71.44%","Cov: 99.13%
Acc: 71.69%","Cov: 96.51%
Acc: 72.65%","Cov: 90.91%
Acc: 74.45%","Cov: 82.39%
Acc: 76.61%","Cov: 71.96%
Acc: 78.97%","Cov: 61.26%
Acc: 80.41%","Cov: 51.71%
Acc: 80.85%","Cov: 44.05%
Acc: 81.43%","Cov: 37.58%
Acc: 82.80%","Cov: 36.91%
Acc: 82.97%","Cov: 36.27%
Acc: 82.89%","Cov: 35.62%
Acc: 82.79%","Cov: 34.76%
Acc: 83.02%","Cov: 33.72%
Acc: 82.96%","Cov: 32.55%
Acc: 82.84%","Cov: 31.04%
Acc: 82.29%","Cov: 29.24%
Acc: 82.26%","Cov: 25.99%
Acc: 82.01%"
Class_12,"Cov: 99.56%
Acc: 77.89%","Cov: 98.75%
Acc: 78.37%","Cov: 96.75%
Acc: 79.19%","Cov: 93.30%
Acc: 80.57%","Cov: 87.12%
Acc: 82.45%","Cov: 78.87%
Acc: 84.04%","Cov: 66.05%
Acc: 84.56%","Cov: 51.61%
Acc: 83.60%","Cov: 38.55%
Acc: 82.21%","Cov: 29.58%
Acc: 79.61%","Cov: 28.97%
Acc: 79.25%","Cov: 28.31%
Acc: 79.13%","Cov: 27.75%
Acc: 79.22%","Cov: 27.13%
Acc: 78.97%","Cov: 26.57%
Acc: 78.68%","Cov: 25.74%
Acc: 78.17%","Cov: 25.01%
Acc: 77.71%","Cov: 23.55%
Acc: 76.71%","Cov: 20.27%
Acc: 74.88%"
Class_13,"Cov: 99.67%
Acc: 75.37%","Cov: 98.79%
Acc: 75.87%","Cov: 96.64%
Acc: 77.13%","Cov: 92.51%
Acc: 79.30%","Cov: 86.78%
Acc: 82.34%","Cov: 79.92%
Acc: 85.22%","Cov: 71.75%
Acc: 86.57%","Cov: 58.77%
Acc: 86.53%","Cov: 43.54%
Acc: 84.72%","Cov: 29.88%
Acc: 81.14%","Cov: 29.02%
Acc: 80.98%","Cov: 28.37%
Acc: 80.66%","Cov: 27.56%
Acc: 80.38%","Cov: 26.60%
Acc: 80.42%","Cov: 25.84%
Acc: 80.52%","Cov: 24.85%
Acc: 80.04%","Cov: 23.92%
Acc: 80.04%","Cov: 22.15%
Acc: 79.25%","Cov: 19.73%
Acc: 78.11%"
Class_14,"Cov: 99.79%
Acc: 70.52%","Cov: 98.80%
Acc: 71.02%","Cov: 95.97%
Acc: 72.35%","Cov: 89.83%
Acc: 74.39%","Cov: 79.01%
Acc: 76.91%","Cov: 65.68%
Acc: 78.89%","Cov: 52.67%
Acc: 79.64%","Cov: 42.49%
Acc: 79.25%","Cov: 33.20%
Acc: 77.02%","Cov: 26.26%
Acc: 73.48%","Cov: 25.45%
Acc: 73.04%","Cov: 24.63%
Acc: 72.47%","Cov: 23.94%
Acc: 72.07%","Cov: 23.21%
Acc: 71.33%","Cov: 22.59%
Acc: 71.02%","Cov: 21.85%
Acc: 70.62%","Cov: 20.91%
Acc: 70.53%","Cov: 20.02%
Acc: 70.30%","Cov: 17.98%
Acc: 68.90%"
Class_15,"Cov: 99.46%
Acc: 81.73%","Cov: 98.44%
Acc: 82.20%","Cov: 96.03%
Acc: 83.28%","Cov: 90.48%
Acc: 85.55%","Cov: 81.94%
Acc: 87.35%","Cov: 69.67%
Acc: 88.70%","Cov: 53.30%
Acc: 88.73%","Cov: 38.31%
Acc: 87.37%","Cov: 27.39%
Acc: 85.58%","Cov: 19.02%
Acc: 82.00%","Cov: 18.02%
Acc: 81.51%","Cov: 17.23%
Acc: 80.80%","Cov: 16.56%
Acc: 80.23%","Cov: 15.89%
Acc: 79.47%","Cov: 15.07%
Acc: 78.91%","Cov: 13.99%
Acc: 77.58%","Cov: 13.06%
Acc: 76.39%","Cov: 11.80%
Acc: 74.02%","Cov: 9.43%
Acc: 69.24%"
Class_16,"Cov: 99.77%
Acc: 80.07%","Cov: 98.97%
Acc: 80.46%","Cov: 96.93%
Acc: 81.53%","Cov: 93.15%
Acc: 83.29%","Cov: 87.95%
Acc: 85.08%","Cov: 81.46%
Acc: 86.94%","Cov: 74.42%
Acc: 87.91%","Cov: 67.19%
Acc: 88.17%","Cov: 60.71%
Acc: 88.38%","Cov: 54.57%
Acc: 88.46%","Cov: 53.97%
Acc: 88.38%","Cov: 53.35%
Acc: 88.36%","Cov: 52.47%
Acc: 88.36%","Cov: 51.56%
Acc: 88.34%","Cov: 50.65%
Acc: 88.26%","Cov: 49.46%
Acc: 88.20%","Cov: 47.98%
Acc: 88.25%","Cov: 45.99%
Acc: 88.08%","Cov: 42.51%
Acc: 87.59%"
Class_17,"Cov: 99.90%
Acc: 78.92%","Cov: 99.43%
Acc: 79.21%","Cov: 98.25%
Acc: 79.85%","Cov: 95.86%
Acc: 80.88%","Cov: 91.14%
Acc: 82.41%","Cov: 84.07%
Acc: 83.57%","Cov: 75.38%
Acc: 84.26%","Cov: 65.53%
Acc: 84.05%","Cov: 54.32%
Acc: 83.03%","Cov: 42.50%
Acc: 80.48%","Cov: 41.62%
Acc: 80.30%","Cov: 40.63%
Acc: 80.08%","Cov: 39.60%
Acc: 79.84%","Cov: 38.77%
Acc: 79.60%","Cov: 37.61%
Acc: 79.28%","Cov: 36.36%
Acc: 79.13%","Cov: 34.91%
Acc: 78.64%","Cov: 33.04%
Acc: 78.13%","Cov: 29.55%
Acc: 76.59%"
Class_18,"Cov: 99.86%
Acc: 67.24%","Cov: 99.26%
Acc: 67.52%","Cov: 97.08%
Acc: 68.53%","Cov: 92.73%
Acc: 70.40%","Cov: 86.18%
Acc: 73.03%","Cov: 80.33%
Acc: 74.72%","Cov: 75.85%
Acc: 76.08%","Cov: 70.97%
Acc: 76.74%","Cov: 64.72%
Acc: 77.29%","Cov: 56.15%
Acc: 76.64%","Cov: 55.01%
Acc: 76.34%","Cov: 53.82%
Acc: 76.00%","Cov: 52.93%
Acc: 75.84%","Cov: 51.79%
Acc: 75.64%","Cov: 50.38%
Acc: 75.48%","Cov: 47.95%
Acc: 74.65%","Cov: 45.15%
Acc: 73.72%","Cov: 41.01%
Acc: 72.32%","Cov: 35.03%
Acc: 69.16%"
Class_19,"Cov: 99.69%
Acc: 68.19%","Cov: 98.62%
Acc: 68.93%","Cov: 95.69%
Acc: 69.74%","Cov: 89.38%
Acc: 71.22%","Cov: 80.62%
Acc: 74.65%","Cov: 72.77%
Acc: 78.41%","Cov: 67.08%
Acc: 79.80%","Cov: 57.54%
Acc: 82.32%","Cov: 47.23%
Acc: 80.87%","Cov: 36.31%
Acc: 76.82%","Cov: 34.62%
Acc: 76.26%","Cov: 34.00%
Acc: 75.95%","Cov: 32.31%
Acc: 74.45%","Cov: 30.92%
Acc: 73.50%","Cov: 29.85%
Acc: 73.81%","Cov: 29.23%
Acc: 73.58%","Cov: 28.31%
Acc: 74.08%","Cov: 27.54%
Acc: 74.05%","Cov: 25.23%
Acc: 72.91%"
